,Col2,Col3,Col4,Col5,Col6,Col7,Col8,Col9,Col10,Col11,Col12,Col13,Col14,Col15,Col16,Col17,Col18,Col19,Col20,Col21,Col22,Col23,Col24,Col25,Col26,Col27,Col28,Col29,Col30,Col31,Col32,Col33,Col34,Col35,Col36,Col37,Col38,Col39,Col40,Col41,Col42,Col43
144,0,0,3,0,1,1,2,1,0,1,0,0,2,0,0,0,0,0,1,2,1,0,0,0,2,0,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0
171,0,0,1,0,0,1,0,0,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,3,0,0,0,1
138,1,1,1,2,2,1,3,2,0,0,2,1,2,1,2,1,2,2,3,1,0,1,0,3,3,2,3,0,0,2,2,2,1,1,2,2,0,0,0,0,0,2
128,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0
219,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
124,2,0,1,0,0,2,0,1,2,0,3,0,0,0,1,0,0,0,1,0,0,1,1,0,1,0,1,2,0,1,1,2,1,0,1,0,0,1,0,0,1,0
408,3,2,2,2,3,3,3,3,2,2,3,3,3,3,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,2,3,3,3,3,3,3,3,3,3,3,2,2
203,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
301,0,0,2,0,0,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
182,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
197,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
332,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,2,0,0,0,0,0
280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
100,1,0,0,0,0,3,0,2,0,0,0,0,0,0,0,1,0,2,0,0,0,0,1,3,2,1,0,0,1,3,2,3,1,1,0,0,2,0,0,0,0,0
400,3,3,3,3,4,3,3,3,3,3,4,3,3,4,4,3,3,3,3,4,4,3,3,4,4,3,3,3,4,3,4,4,3,4,4,3,4,3,3,4,3,4
302,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,2,0,0,2,1,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0
410,3,3,2,3,4,2,2,3,3,2,3,3,3,3,3,3,3,3,2,2,3,3,2,3,2,3,2,2,3,3,2,3,2,3,2,3,2,3,2,3,3,3
287,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
300,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
102,0,0,1,0,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0
185,1,1,2,0,1,0,1,2,2,2,2,0,2,2,2,2,0,2,2,2,1,2,2,3,1,1,2,0,1,2,2,0,1,2,2,2,2,3,1,2,2,2
46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
282,0,0,0,0,0,3,2,2,0,0,0,0,1,0,2,3,0,0,0,0,0,1,3,1,0,0,0,0,0,2,3,0,0,2,0,0,1,0,0,0,2,3
270,0,0,2,0,0,1,0,0,0,2,1,0,0,0,0,0,0,2,2,0,0,0,0,0,2,1,2,0,0,2,0,1,0,1,0,0,1,1,0,0,0,0
323,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
238,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,0,0,2,0,0,3,1,2,3,3,0,0,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,2,0,0,0,1,0,0,0,1,1,0,0,0
347,3,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
284,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
297,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0
380,0,0,2,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
257,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
75,1,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,0,0,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0
112,2,0,1,0,0,3,2,1,3,1,1,0,0,1,1,1,0,1,0,0,0,1,0,0,1,0,1,0,1,3,1,4,2,1,0,0,1,2,1,0,0,1
179,2,0,2,0,0,2,1,1,1,2,1,1,1,1,1,2,1,0,1,0,0,1,1,0,1,0,1,1,1,1,1,1,1,2,1,0,0,1,1,1,1,1
397,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
108,3,4,3,2,0,4,3,3,2,1,2,0,0,2,4,4,3,1,3,0,0,0,3,3,0,2,4,1,1,4,3,4,4,1,2,2,3,0,1,3,3,4
306,1,0,1,0,0,1,0,1,2,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1
290,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
153,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
64,2,0,1,0,0,1,0,0,2,0,1,0,0,1,0,1,0,2,1,0,0,2,0,0,1,0,0,0,0,1,0,1,0,2,1,0,0,1,1,0,1,0
263,4,4,2,0,1,1,0,0,4,4,2,1,3,4,4,1,4,1,2,4,4,4,2,0,4,2,1,2,3,1,4,0,2,1,1,2,0,4,2,0,1,3
316,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
196,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
73,1,0,0,0,0,0,0,1,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
285,0,0,0,0,1,2,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,1,3,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,1,1,1
356,2,1,1,0,2,1,1,0,1,1,1,1,1,1,2,2,1,2,2,0,0,1,2,1,2,1,1,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1
28,1,0,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,1,4,0,0,0,0,0,0,0,1
352,1,0,0,0,0,2,0,2,1,1,2,0,0,1,0,2,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
372,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0
17,1,0,1,0,0,3,0,3,0,0,0,0,0,3,1,0,0,2,0,0,0,1,1,0,1,0,0,2,0,2,0,3,2,0,2,0,0,0,0,0,0,3
81,1,0,2,0,0,2,0,1,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,2,3,2,0,0,1,1,0,0,0,0
308,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
279,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,1
419,2,3,2,3,3,3,3,3,3,2,2,2,2,3,3,2,2,3,3,2,3,2,3,3,3,2,2,3,3,3,2,2,3,2,2,3,3,2,3,3,3,3
133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
99,0,3,2,0,0,0,0,2,2,3,2,0,2,2,2,4,0,4,4,1,0,1,0,4,4,4,2,0,0,1,1,1,3,0,2,0,1,0,0,1,0,3
176,0,0,3,0,0,0,0,0,0,0,4,0,0,0,1,0,0,0,2,0,0,0,2,0,4,0,2,3,0,0,1,0,0,0,0,0,0,0,0,0,1,2
396,4,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,3,3,3,3,3,3,3
322,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
33,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
360,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
187,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
295,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
354,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
93,3,4,3,3,0,0,3,4,4,4,0,1,0,3,4,4,0,4,0,0,0,3,3,3,1,4,0,1,0,4,4,1,2,2,2,3,3,4,1,4,4,4
327,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
318,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
204,1,2,2,0,1,1,1,0,2,4,0,0,1,0,1,0,1,1,0,0,0,1,0,0,2,2,0,3,0,0,1,1,4,2,0,0,0,1,1,0,1,2
374,0,0,0,0,0,1,1,0,1,0,1,0,0,2,2,1,0,0,2,0,0,3,1,3,0,0,1,0,0,2,3,3,2,0,0,2,0,0,0,2,1,2
218,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
259,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0
307,0,0,1,0,0,1,0,0,2,1,2,0,0,1,0,0,1,1,1,0,0,2,0,1,1,1,1,0,0,1,1,1,3,3,1,0,0,1,2,0,0,1
341,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
288,1,0,0,1,0,4,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0,1,0,2,0,0,1,0,3,0,1,0,1,0,0,3,0,0,0,0,0
250,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
79,2,0,0,1,2,1,2,0,0,2,0,0,2,2,2,2,0,1,0,0,0,1,1,1,1,2,0,1,0,2,1,1,1,1,1,2,3,2,3,3,2,3
15,4,1,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
339,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
159,0,1,0,0,1,0,1,1,0,1,1,0,1,0,1,1,0,2,0,0,0,0,1,0,0,2,1,0,0,2,1,1,1,2,1,0,1,0,1,2,1,1
4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
177,0,1,0,0,0,0,1,0,0,2,0,0,0,0,3,0,0,4,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,2,0,1,0
394,3,3,4,4,3,4,3,3,3,3,3,3,3,3,4,3,4,3,3,3,3,4,4,4,4,4,3,3,3,4,4,3,3,4,3,3,4,4,3,3,3,3
174,0,2,0,0,0,2,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
225,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
170,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0
191,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,2,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
127,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,2,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
369,0,0,1,2,2,2,2,3,0,0,1,0,2,4,3,3,0,1,0,1,1,0,1,1,0,0,1,1,0,2,3,2,3,3,0,1,2,1,0,1,1,2
141,0,0,0,0,0,0,1,0,1,2,0,0,1,0,0,0,0,1,0,0,0,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
25,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,4,0,0,0,0,0,0,0,0
24,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0
240,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
312,0,0,4,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0
31,0,1,0,0,0,3,1,2,1,0,2,0,1,1,2,0,0,1,0,0,0,4,1,0,0,0,1,0,0,2,1,2,2,0,1,0,0,0,0,0,0,0
328,1,0,1,0,0,3,1,0,4,4,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,2,4,2,2,0,0,0,0,0,1,1,3
184,0,1,0,0,0,0,0,2,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,2,0,1,0,2,0,0,0,4,0,0,0,0,1,0,0,1
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
